SLUG,PRODUCT,DESCRIPTION,SUPPLIER,STYLE,BLACK,WHITE,MONUMENT,CREAM,CUSTOM,POLISHED_STAINLESS_STEEL,SATIN_STAINLESS_STEEL,MATT_BLACK,PEARL_WHITE_GLOSS,SURFMIST_MATT,DUNE_SATIN,BASALT_SATIN,WOODLAND_GREY_MATT,MONUMENT_MATT,BLACK_SATIN,KWILA_TEXTURED,WESTERN_RED_CEDAR
panel_options+1200x1850,1200H - 1850,Panel,GO,glass_pool,,,,,,C12N-1850,C12N-1850,C12N-1850,,,,,,,,,
panel_options+1200x1900,1200H - 1900,Panel,GO,glass_pool,,,,,,C12N-1900,C12N-1900,C12N-1900,,,,,,,,,
panel_options+1200x1950,1200H - 1950,Panel,GO,glass_pool,,,,,,C12N-1950,C12N-1950,C12N-1950,,,,,,,,,
panel_options+1200x2000,1200H - 2000,Panel,GO,glass_pool,,,,,,C12N-2000,C12N-2000,C12N-2000,,,,,,,,,
left_raked_panel+1400x400,1400H - 400 Step-Up,LEFT Raked Panels,GO,glass_pool,,,,,,C12NRP-1400HT,C12NRP-1400HT,C12NRP-1400HT,,,,,,,,,
left_raked_panel+1500x500,1500H - 500 Step-Up,LEFT Raked Panels,GO,glass_pool,,,,,,C12NRP-1500HT,C12NRP-1500HT,C12NRP-1500HT,,,,,,,,,
left_raked_panel+1600x600,1600H - 600 Step-Up,LEFT Raked Panels,GO,glass_pool,,,,,,C12NRP-1600HT,C12NRP-1600HT,C12NRP-1600HT,,,,,,,,,
left_raked_panel+1700x700,1700H - 700 Step-Up,LEFT Raked Panels,GO,glass_pool,,,,,,C12NRP-1700HT,C12NRP-1700HT,C12NRP-1700HT,,,,,,,,,
left_raked_panel+1800x600,1800H - 600 Step-Up,LEFT Raked Panels,GO,glass_pool,,,,,,C12NRP-1800HT,C12NRP-1800HT,C12NRP-1800HT,,,,,,,,,
right_raked_panel+1400x400,1400H - 400 Step-Up,RIGHT Raked Panels,GO,glass_pool,,,,,,C12NRP-1400HT,C12NRP-1400HT,C12NRP-1400HT,,,,,,,,,
right_raked_panel+1500x500,1500H - 500 Step-Up,RIGHT Raked Panels,GO,glass_pool,,,,,,C12NRP-1500HT,C12NRP-1500HT,C12NRP-1500HT,,,,,,,,,
right_raked_panel+1600x600,1600H - 600 Step-Up,RIGHT Raked Panels,GO,glass_pool,,,,,,C12NRP-1600HT,C12NRP-1600HT,C12NRP-1600HT,,,,,,,,,
right_raked_panel+1700x700,1700H - 700 Step-Up,RIGHT Raked Panels,GO,glass_pool,,,,,,C12NRP-1700HT,C12NRP-1700HT,C12NRP-1700HT,,,,,,,,,
right_raked_panel+1800x600,1800H - 600 Step-Up,RIGHT Raked Panels,GO,glass_pool,,,,,,C12NRP-1800HT,C12NRP-1800HT,C12NRP-1800HT,,,,,,,,,
gate+opt-1+750,Gate - Master - M750mm,Gate,GO,glass_pool,,,,,,C08SLG-0750,C08SLG-0750,C08SLG-0750,,,,,,,,,
gate+opt-1+834,Gate - Master - M834mm,Gate,GO,glass_pool,,,,,,C08SLG-0834,C08SLG-0834,C08SLG-0834,,,,,,,,,
gate+opt-1+890,Gate - Master - M890mm,Gate,GO,glass_pool,,,,,,C08SLG-0890,C08SLG-0890,C08SLG-0890,,,,,,,,,
gate+opt-1+1000,Gate - Master - M1000mm,Gate,GO,glass_pool,,,,,,C08SLG-1000,C08SLG-1000,C08SLG-1000,,,,,,,,,
gate+opt-2+800,Gate - Soft - S800mm,Gate,GO,glass_pool,,,,,,12PGG-0800,12PGG-0800,12PGG-0800,,,,,,,,,
gate+opt-2+900,Gate - Soft - S900mm,Gate,GO,glass_pool,,,,,,12PGG-0900,12PGG-0900,12PGG-0900,,,,,,,,,
gate+opt-2+wall+800,Gate - Soft - S800mm,Gate,GO,glass_pool,,,,,,12PWG-0800,12PWG-0800,12PWG-0800,,,,,,,,,
gate+opt-2+wall+900,Gate - Soft - S900mm,Gate,GO,glass_pool,,,,,,12PWG-0900,12PWG-0900,12PWG-0900,,,,,,,,,
gate_hinge_panel+opt-2+600,Gate Hinge Panel - Soft - 600mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-0600,C12NPH-0600,C12NPH-0600,,,,,,,,,
gate_hinge_panel+opt-2+800,Gate Hinge Panel - Soft - 800mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-0800,C12NPH-0800,C12NPH-0800,,,,,,,,,
gate_hinge_panel+opt-2+1000,Gate Hinge Panel - Soft - 1000mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1000,C12NPH-1000,C12NPH-1000,,,,,,,,,
gate_hinge_panel+opt-2+1100,Gate Hinge Panel - Soft - 1100mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1100,C12NPH-1100,C12NPH-1100,,,,,,,,,
gate_hinge_panel+opt-2+1200,Gate Hinge Panel - Soft - 1200mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1200,C12NPH-1200,C12NPH-1200,,,,,,,,,
gate_hinge_panel+opt-2+1300,Gate Hinge Panel - Soft - 1300mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1300,C12NPH-1300,C12NPH-1300,,,,,,,,,
gate_hinge_panel+opt-2+1400,Gate Hinge Panel - Soft - 1400mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1400,C12NPH-1400,C12NPH-1400,,,,,,,,,
gate_hinge_panel+opt-2+1500,Gate Hinge Panel - Soft - 1500mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1500,C12NPH-1500,C12NPH-1500,,,,,,,,,
gate_hinge_panel+opt-2+1600,Gate Hinge Panel - Soft - 1600mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1600,C12NPH-1600,C12NPH-1600,,,,,,,,,
gate_hinge_panel+opt-2+1700,Gate Hinge Panel - Soft - 1700mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1700,C12NPH-1700,C12NPH-1700,,,,,,,,,
gate_hinge_panel+opt-2+1800,Gate Hinge Panel - Soft - 1800mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NPH-1800,C12NPH-1800,C12NPH-1800,,,,,,,,,
gate_hinge_panel+opt-1+600,Gate Hinge Panel - Master - 600mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-0600,C12NH-0600,C12NH-0600,,,,,,,,,
gate_hinge_panel+opt-1+800,Gate Hinge Panel - Master - 800mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-0800,C12NH-0800,C12NH-0800,,,,,,,,,
gate_hinge_panel+opt-1+1000,Gate Hinge Panel - Master - 1000mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1000,C12NH-1000,C12NH-1000,,,,,,,,,
gate_hinge_panel+opt-1+1100,Gate Hinge Panel - Master - 1100mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1100,C12NH-1100,C12NH-1100,,,,,,,,,
gate_hinge_panel+opt-1+1200,Gate Hinge Panel - Master - 1200mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1200,C12NH-1200,C12NH-1200,,,,,,,,,
gate_hinge_panel+opt-1+1300,Gate Hinge Panel - Master - 1300mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1300,C12NH-1300,C12NH-1300,,,,,,,,,
gate_hinge_panel+opt-1+1400,Gate Hinge Panel - Master - 1400mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1400,C12NH-1400,C12NH-1400,,,,,,,,,
gate_hinge_panel+opt-1+1500,Gate Hinge Panel - Master - 1500mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1500,C12NH-1500,C12NH-1500,,,,,,,,,
gate_hinge_panel+opt-1+1600,Gate Hinge Panel - Master - 1600mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1600,C12NH-1600,C12NH-1600,,,,,,,,,
gate_hinge_panel+opt-1+1700,Gate Hinge Panel - Master - 1700mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1700,C12NH-1700,C12NH-1700,,,,,,,,,
gate_hinge_panel+opt-1+1800,Gate Hinge Panel - Master - 1800mm,Gate Hinge Panel,GO,glass_pool,,,,,,C12NH-1800,C12NH-1800,C12NH-1800,,,,,,,,,
gate_hinge+opt-1,Standard Range Hinge,Gate Hinge,GO,glass_pool,,,,,,MR-GGH-P,MR-GGH-S,MR-GGH-BLK,,,,,,,,,
gate_hinge+opt-2,Soft-Close Range Hinge,Gate Hinge,GO,glass_pool,,,,,,PSC-125GG-P,PSC-125GG-S,PSC-125GG-B,,,,,,,,,
panel_post+opt-1,Spigotase Plated,Spigot,GO,glass_pool,,,,,,LS-DF-SBP-P,LS-DF-SBP-S,LS-DF-SBP-B,,,,,,,,,
panel_post+opt-1-1,Spigotase Plated Insulated,Spigot,GO,glass_pool,,,,,,OFF,PS-SBP-S,PS-SBP-B,,,,,,,,,
panel_post+opt-2,Spigot - Core Drill,Spigot,GO,glass_pool,,,,,,LS-DF-S-P,LS-DF-S-S,LS-DF-S-B,,,,,,,,,
panel_post+opt-2-1,Spigot - Core Drill - Insulated,Spigot,GO,glass_pool,,,,,,OFF,PS-S-S,PS-S-B,,,,,,,,,
panel_post+opt-2-1-1,Spigot - Core-Drill Extended,Spigot,GO,glass_pool,,,,,,POOLMAD-EXT-S-P,POOLMAD-EXT-S-S,POOLMAD-EXT-S-B,,,,,,,,,
side_panel_spacing+PTPA,Angled Panel to Panel Clamp,Clamp,GO,glass_pool,,,,,,GC-RIGISWIV-P,GC-RIGISWIV-S,GC-RIGISWIV-B,,,,,,,,,
side_panel_spacing+PTP90,90deg Panel to Panel Clamp,Clamp,GO,glass_pool,,,,,,GC-RIGI90-P,GC-RIGI90-S,GC-RIGI90-B,,,,,,,,,
side_panel_spacing+PTW,Panel to wall clamp,Clamp,GO,glass_pool,,,,,,GC-D-FB-P,GC-D-FB-S,GC-D-FB-B,,,,,,,,,
side_panel_spacing+PTRP,Panel to Round Post clamp,Clamp,GO,glass_pool,,,,,,GC-D-RB-P,GC-D-RB-S,GC-D-RB-B,,,,,,,,,
fixings_stone,Fixings into Concrete,Fixings (if base plated selected into concrete,GO,glass_pool,,,,,,S-120ROD-4PK,S-120ROD-4PK,S-120ROD-4PK,,,,,,,,,
fixings_wood,Fixings into Wood,Fixings (if base plated selected into wood,GO,glass_pool,,,,,,GS093LAG,GS093LAG,GS093LAG,,,,,,,,,
grout,Grout,Bags of grout (if Core-drilled selected) 1 bag to every 8 spigots rounded up.,GO,glass_pool,,,,,,Grout-SIKA,Grout-SIKA,Grout-SIKA,,,,,,,,,
latch_glass_to_glass,Latch Glass To Glass,Latch - Panel 2 Panel,GO,glass_pool,,,,,,MR-FLGG-P,MR-FLGG-S,MR-FLGG-B,,,,,,,,,
latch_glass_to_wall_post,Latch Glass To Wall / Post,Latch - Panel 2 Post,GO,glass_pool,,,,,,MR-WGLSS-P,MR-WGLSS-S,MR-WGL-B,,,,,,,,,
latch_glass_to_glass90_internal,Latch Glass To Glass 90 DEG Internal,Latch - Panel 2 Panel 90 INT,GO,glass_pool,,,,,,MR-FL90I-P,MR-FL90I-S,MR-FL90I-B,,,,,,,,,
latch_glass_to_glass90_external,Latch Glass To Glass 90 DEG external,Latch - Panel 2 Panel 90 EXT,GO,glass_pool,,,,,,MR-FL90E-P,MR-FL90E-S,MR-FL90E-B,,,,,,,,,
chem_achor+glue,Chem Anchor Glue 280ml Tube,Glue,GO,glass_pool,,,,,,SOUD-CA1400,SOUD-CA1400,SOUD-CA1400,,,,,,,,,
chem_achor+glue_gun,Heavy Duty Cartridge Gun (Suits 280ml Tubes),Cartridge Gun,GO,glass_pool,,,,,,SOUD-GUN,SOUD-GUN,SOUD-GUN,,,,,,,,,
panel_options+1200x200,1200H - 200,Panel,JG,glass_pool,,,,,,C12N-0200,C12N-0200,C12N-0200,,,,,,,,,
panel_options+1200x250,1200H - 250,Panel,JG,glass_pool,,,,,,C12N-0250,C12N-0250,C12N-0250,,,,,,,,,
panel_options+1200x300,1200H - 300,Panel,JG,glass_pool,,,,,,C12N-0300,C12N-0300,C12N-0300,,,,,,,,,
panel_options+1200x350,1200H - 350,Panel,JG,glass_pool,,,,,,C12N-0350,C12N-0350,C12N-0350,,,,,,,,,
panel_options+1200x400,1200H - 400,Panel,JG,glass_pool,,,,,,C12N-0400,C12N-0400,C12N-0400,,,,,,,,,
panel_options+1200x450,1200H - 450,Panel,JG,glass_pool,,,,,,C12N-0450,C12N-0450,C12N-0450,,,,,,,,,
panel_options+1200x500,1200H - 500,Panel,JG,glass_pool,,,,,,C12N-0500,C12N-0500,C12N-0500,,,,,,,,,
panel_options+1200x550,1200H - 550,Panel,JG,glass_pool,,,,,,C12N-0550,C12N-0550,C12N-0550,,,,,,,,,
panel_options+1200x600,1200H - 600,Panel,JG,glass_pool,,,,,,C12N-0600,C12N-0600,C12N-0600,,,,,,,,,
panel_options+1200x650,1200H - 650,Panel,JG,glass_pool,,,,,,C12N-0650,C12N-0650,C12N-0650,,,,,,,,,
panel_options+1200x700,1200H - 700,Panel,JG,glass_pool,,,,,,C12N-0700,C12N-0700,C12N-0700,,,,,,,,,
panel_options+1200x750,1200H - 750,Panel,JG,glass_pool,,,,,,C12N-0750,C12N-0750,C12N-0750,,,,,,,,,
panel_options+1200x800,1200H - 800,Panel,JG,glass_pool,,,,,,C12N-0800,C12N-0800,C12N-0800,,,,,,,,,
panel_options+1200x850,1200H - 850,Panel,JG,glass_pool,,,,,,C12N-0850,C12N-0850,C12N-0850,,,,,,,,,
panel_options+1200x900,1200H - 900,Panel,JG,glass_pool,,,,,,C12N-0900,C12N-0900,C12N-0900,,,,,,,,,
panel_options+1200x950,1200H - 950,Panel,JG,glass_pool,,,,,,C12N-0950,C12N-0950,C12N-0950,,,,,,,,,
panel_options+1200x1000,1200H - 1000,Panel,JG,glass_pool,,,,,,C12N-1000,C12N-1000,C12N-1000,,,,,,,,,
panel_options+1200x1050,1200H - 1050,Panel,JG,glass_pool,,,,,,C12N-1050,C12N-1050,C12N-1050,,,,,,,,,
panel_options+1200x1100,1200H - 1100,Panel,JG,glass_pool,,,,,,C12N-1100,C12N-1100,C12N-1100,,,,,,,,,
panel_options+1200x1150,1200H - 1150,Panel,JG,glass_pool,,,,,,C12N-1150,C12N-1150,C12N-1150,,,,,,,,,
panel_options+1200x1200,1200H - 1200,Panel,JG,glass_pool,,,,,,C12N-1200,C12N-1200,C12N-1200,,,,,,,,,
panel_options+1200x1250,1200H - 1250,Panel,JG,glass_pool,,,,,,C12N-1250,C12N-1250,C12N-1250,,,,,,,,,
panel_options+1200x1300,1200H - 1300,Panel,JG,glass_pool,,,,,,C12N-1300,C12N-1300,C12N-1300,,,,,,,,,
panel_options+1200x1350,1200H - 1350,Panel,JG,glass_pool,,,,,,C12N-1350,C12N-1350,C12N-1350,,,,,,,,,
panel_options+1200x1400,1200H - 1400,Panel,JG,glass_pool,,,,,,C12N-1400,C12N-1400,C12N-1400,,,,,,,,,
panel_options+1200x1450,1200H - 1450,Panel,JG,glass_pool,,,,,,C12N-1450,C12N-1450,C12N-1450,,,,,,,,,
panel_options+1200x1500,1200H - 1500,Panel,JG,glass_pool,,,,,,C12N-1500,C12N-1500,C12N-1500,,,,,,,,,
panel_options+1200x1550,1200H - 1550,Panel,JG,glass_pool,,,,,,C12N-1550,C12N-1550,C12N-1550,,,,,,,,,
panel_options+1200x1600,1200H - 1600,Panel,JG,glass_pool,,,,,,C12N-1600,C12N-1600,C12N-1600,,,,,,,,,
panel_options+1200x1650,1200H - 1650,Panel,JG,glass_pool,,,,,,C12N-1650,C12N-1650,C12N-1650,,,,,,,,,
panel_options+1200x1700,1200H - 1700,Panel,JG,glass_pool,,,,,,C12N-1700,C12N-1700,C12N-1700,,,,,,,,,
panel_options+1200x1750,1200H - 1750,Panel,JG,glass_pool,,,,,,C12N-1750,C12N-1750,C12N-1750,,,,,,,,,
panel_options+1200x1800,1200H - 1800,Panel,JG,glass_pool,,,,,,C12N-1800,C12N-1800,C12N-1800,,,,,,,,,
panel_options+1200x1850,1200H - 1850,Panel,JG,glass_pool,,,,,,C12N-1850,C12N-1850,C12N-1850,,,,,,,,,
panel_options+1200x1900,1200H - 1900,Panel,JG,glass_pool,,,,,,C12N-1900,C12N-1900,C12N-1900,,,,,,,,,
panel_options+1200x1950,1200H - 1950,Panel,JG,glass_pool,,,,,,C12N-1950,C12N-1950,C12N-1950,,,,,,,,,
panel_options+1200x2000,1200H - 2000,Panel,JG,glass_pool,,,,,,C12N-2000,C12N-2000,C12N-2000,,,,,,,,,
left_raked_panel+1400x400,1400H - 400 Step-Up,LEFT Raked Panels,JG,glass_pool,,,,,,C12NRP-1400HT,C12NRP-1400HT,C12NRP-1400HT,,,,,,,,,
left_raked_panel+1500x500,1500H - 500 Step-Up,LEFT Raked Panels,JG,glass_pool,,,,,,C12NRP-1500HT,C12NRP-1500HT,C12NRP-1500HT,,,,,,,,,
left_raked_panel+1600x600,1600H - 600 Step-Up,LEFT Raked Panels,JG,glass_pool,,,,,,C12NRP-1600HT,C12NRP-1600HT,C12NRP-1600HT,,,,,,,,,
left_raked_panel+1700x700,1700H - 700 Step-Up,LEFT Raked Panels,JG,glass_pool,,,,,,C12NRP-1700HT,C12NRP-1700HT,C12NRP-1700HT,,,,,,,,,
left_raked_panel+1800x600,1800H - 600 Step-Up,LEFT Raked Panels,JG,glass_pool,,,,,,C12NRP-1800HT,C12NRP-1800HT,C12NRP-1800HT,,,,,,,,,
right_raked_panel+1400x400,1400H - 400 Step-Up,RIGHT Raked Panels,JG,glass_pool,,,,,,C12NRP-1400HT,C12NRP-1400HT,C12NRP-1400HT,,,,,,,,,
right_raked_panel+1500x500,1500H - 500 Step-Up,RIGHT Raked Panels,JG,glass_pool,,,,,,C12NRP-1500HT,C12NRP-1500HT,C12NRP-1500HT,,,,,,,,,
right_raked_panel+1600x600,1600H - 600 Step-Up,RIGHT Raked Panels,JG,glass_pool,,,,,,C12NRP-1600HT,C12NRP-1600HT,C12NRP-1600HT,,,,,,,,,
right_raked_panel+1700x700,1700H - 700 Step-Up,RIGHT Raked Panels,JG,glass_pool,,,,,,C12NRP-1700HT,C12NRP-1700HT,C12NRP-1700HT,,,,,,,,,
right_raked_panel+1800x600,1800H - 600 Step-Up,RIGHT Raked Panels,JG,glass_pool,,,,,,C12NRP-1800HT,C12NRP-1800HT,C12NRP-1800HT,,,,,,,,,
gate+opt-1+750,Gate - Master - M750mm,Gate,JG,glass_pool,,,,,,C08SLG-0750,C08SLG-0750,C08SLG-0750,,,,,,,,,
gate+opt-1+834,Gate - Master - M834mm,Gate,JG,glass_pool,,,,,,C08SLG-0834,C08SLG-0834,C08SLG-0834,,,,,,,,,
gate+opt-1+890,Gate - Master - M890mm,Gate,JG,glass_pool,,,,,,C08SLG-0890,C08SLG-0890,C08SLG-0890,,,,,,,,,
gate+opt-1+1000,Gate - Master - M1000mm,Gate,JG,glass_pool,,,,,,C08SLG-1000,C08SLG-1000,C08SLG-1000,,,,,,,,,
gate+opt-2+800,Gate - Soft - S800mm,Gate,JG,glass_pool,,,,,,12PGG-0800,12PGG-0800,12PGG-0800,,,,,,,,,
gate+opt-2+900,Gate - Soft - S900mm,Gate,JG,glass_pool,,,,,,12PGG-0900,12PGG-0900,12PGG-0900,,,,,,,,,
gate+opt-2+wall+800,Gate - Soft - S800mm,Gate,JG,glass_pool,,,,,,12PWG-0800,12PWG-0800,12PWG-0800,,,,,,,,,
gate+opt-2+wall+900,Gate - Soft - S900mm,Gate,JG,glass_pool,,,,,,12PWG-0900,12PWG-0900,12PWG-0900,,,,,,,,,
gate_hinge_panel+opt-2+600,Gate Hinge Panel - Soft - 600mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-0600,C12NPH-0600,C12NPH-0600,,,,,,,,,
gate_hinge_panel+opt-2+800,Gate Hinge Panel - Soft - 800mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-0800,C12NPH-0800,C12NPH-0800,,,,,,,,,
gate_hinge_panel+opt-2+1000,Gate Hinge Panel - Soft - 1000mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1000,C12NPH-1000,C12NPH-1000,,,,,,,,,
gate_hinge_panel+opt-2+1100,Gate Hinge Panel - Soft - 1100mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1100,C12NPH-1100,C12NPH-1100,,,,,,,,,
gate_hinge_panel+opt-2+1200,Gate Hinge Panel - Soft - 1200mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1200,C12NPH-1200,C12NPH-1200,,,,,,,,,
gate_hinge_panel+opt-2+1300,Gate Hinge Panel - Soft - 1300mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1300,C12NPH-1300,C12NPH-1300,,,,,,,,,
gate_hinge_panel+opt-2+1400,Gate Hinge Panel - Soft - 1400mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1400,C12NPH-1400,C12NPH-1400,,,,,,,,,
gate_hinge_panel+opt-2+1500,Gate Hinge Panel - Soft - 1500mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1500,C12NPH-1500,C12NPH-1500,,,,,,,,,
gate_hinge_panel+opt-2+1600,Gate Hinge Panel - Soft - 1600mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1600,C12NPH-1600,C12NPH-1600,,,,,,,,,
gate_hinge_panel+opt-2+1700,Gate Hinge Panel - Soft - 1700mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1700,C12NPH-1700,C12NPH-1700,,,,,,,,,
gate_hinge_panel+opt-2+1800,Gate Hinge Panel - Soft - 1800mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NPH-1800,C12NPH-1800,C12NPH-1800,,,,,,,,,
gate_hinge_panel+opt-1+600,Gate Hinge Panel - Master - 600mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-0600,C12NH-0600,C12NH-0600,,,,,,,,,
gate_hinge_panel+opt-1+800,Gate Hinge Panel - Master - 800mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-0800,C12NH-0800,C12NH-0800,,,,,,,,,
gate_hinge_panel+opt-1+1000,Gate Hinge Panel - Master - 1000mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1000,C12NH-1000,C12NH-1000,,,,,,,,,
gate_hinge_panel+opt-1+1100,Gate Hinge Panel - Master - 1100mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1100,C12NH-1100,C12NH-1100,,,,,,,,,
gate_hinge_panel+opt-1+1200,Gate Hinge Panel - Master - 1200mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1200,C12NH-1200,C12NH-1200,,,,,,,,,
gate_hinge_panel+opt-1+1300,Gate Hinge Panel - Master - 1300mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1300,C12NH-1300,C12NH-1300,,,,,,,,,
gate_hinge_panel+opt-1+1400,Gate Hinge Panel - Master - 1400mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1400,C12NH-1400,C12NH-1400,,,,,,,,,
gate_hinge_panel+opt-1+1500,Gate Hinge Panel - Master - 1500mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1500,C12NH-1500,C12NH-1500,,,,,,,,,
gate_hinge_panel+opt-1+1600,Gate Hinge Panel - Master - 1600mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1600,C12NH-1600,C12NH-1600,,,,,,,,,
gate_hinge_panel+opt-1+1700,Gate Hinge Panel - Master - 1700mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1700,C12NH-1700,C12NH-1700,,,,,,,,,
gate_hinge_panel+opt-1+1800,Gate Hinge Panel - Master - 1800mm,Gate Hinge Panel,JG,glass_pool,,,,,,C12NH-1800,C12NH-1800,C12NH-1800,,,,,,,,,
gate_hinge+opt-1,Standard Range Hinge,Gate Hinge,JG,glass_pool,,,,,,MR-GGH-P,MR-GGH-S,MR-GGH-BLK,,,,,,,,,
gate_hinge+opt-2,Soft-Close Range Hinge,Gate Hinge,JG,glass_pool,,,,,,PSC-125GG-P,PSC-125GG-S,PSC-125GG-B,,,,,,,,,
panel_post+opt-1,Spigotase Plated,Spigot,JG,glass_pool,,,,,,LS-DF-SBP-P,LS-DF-SBP-S,LS-DF-SBP-B,,,,,,,,,
panel_post+opt-1-1,Spigotase Plated Insulated,Spigot,JG,glass_pool,,,,,,OFF,PS-SBP-S,PS-SBP-B,,,,,,,,,
panel_post+opt-2,Spigot - Core Drill,Spigot,JG,glass_pool,,,,,,LS-DF-S-P,LS-DF-S-S,LS-DF-S-B,,,,,,,,,
panel_post+opt-2-1,Spigot - Core Drill - Insulated,Spigot,JG,glass_pool,,,,,,OFF,PS-S-S,PS-S-B,,,,,,,,,
panel_post+opt-2-1-1,Spigot - Core-Drill Extended,Spigot,JG,glass_pool,,,,,,POOLMAD-EXT-S-P,POOLMAD-EXT-S-S,POOLMAD-EXT-S-B,,,,,,,,,
side_panel_spacing+PTPA,Angled Panel to Panel Clamp,Clamp,JG,glass_pool,,,,,,GC-RIGISWIV-P,GC-RIGISWIV-S,GC-RIGISWIV-B,,,,,,,,,
side_panel_spacing+PTP90,90deg Panel to Panel Clamp,Clamp,JG,glass_pool,,,,,,GC-RIGI90-P,GC-RIGI90-S,GC-RIGI90-B,,,,,,,,,
side_panel_spacing+PTW,Panel to wall clamp,Clamp,JG,glass_pool,,,,,,GC-D-FB-P,GC-D-FB-S,GC-D-FB-B,,,,,,,,,
side_panel_spacing+PTRP,Panel to Round Post clamp,Clamp,JG,glass_pool,,,,,,GC-D-RB-P,GC-D-RB-S,GC-D-RB-B,,,,,,,,,
fixings_stone,Fixings into Concrete,Fixings (if base plated selected into concrete,JG,glass_pool,,,,,,S-120ROD-4PK,S-120ROD-4PK,S-120ROD-4PK,,,,,,,,,
fixings_wood,Fixings into Wood,Fixings (if base plated selected into wood,JG,glass_pool,,,,,,GS093LAG,GS093LAG,GS093LAG,,,,,,,,,
grout,Grout,Bags of grout (if Core-drilled selected) 1 bag to every 8 spigots rounded up.,JG,glass_pool,,,,,,Grout-SIKA,Grout-SIKA,Grout-SIKA,,,,,,,,,
latch_glass_to_glass,Latch Glass To Glass,Latch - Panel 2 Panel,JG,glass_pool,,,,,,MR-FLGG-P,MR-FLGG-S,MR-FLGG-B,,,,,,,,,
latch_glass_to_wall_post,Latch Glass To Wall / Post,Latch - Panel 2 Post,JG,glass_pool,,,,,,MR-WGLSS-P,MR-WGLSS-S,MR-WGL-B,,,,,,,,,
latch_glass_to_glass90_internal,Latch Glass To Glass 90 DEG Internal,Latch - Panel 2 Panel 90 INT,JG,glass_pool,,,,,,MR-FL90I-P,MR-FL90I-S,MR-FL90I-B,,,,,,,,,
latch_glass_to_glass90_external,Latch Glass To Glass 90 DEG external,Latch - Panel 2 Panel 90 EXT,JG,glass_pool,,,,,,MR-FL90E-P,MR-FL90E-S,MR-FL90E-B,,,,,,,,,
chem_achor+glue,Chem Anchor Glue 280ml Tube,Glue,JG,glass_pool,,,,,,SOUD-CA1400,SOUD-CA1400,SOUD-CA1400,,,,,,,,,
chem_achor+glue_gun,Heavy Duty Cartridge Gun (Suits 280ml Tubes),Cartridge Gun,JG,glass_pool,,,,,,SOUD-GUN,SOUD-GUN,SOUD-GUN,,,,,,,,,
