SLUG,PRODUCT,DESCRIPTION,SUPPLIER,STYLE,BLACK,WHITE,MONUMENT,CREAM,CUSTOM,POLISHED_STAINLESS_STEEL,SATIN_STAINLESS_STEEL,MATT_BLACK,PEARL_WHITE_GLOSS,SURFMIST_MATT,DUNE_SATIN,BASALT_SATIN,WOODLAND_GREY_MATT,MONUMENT_MATT,BLACK_SATIN,KWILA_TEXTURED,WESTERN_RED_CEDAR
base_plate+post_cover,Post Cover,PoolSafe Post Cover - 2pc - 50x50mmlack,JG,flat_top,PO-COV-2P-B-JG,PO-COV-2P-W-JG,PO-COV-2P-M-JG,PO-COV-2P-C-JG,OFF,,,,,,,,,,,,
panel_options+bracket,Bracket - STD,PoolSafe Bracket Black x4,JG,flat_top,FTP-BRx4-B-JG,FTP-BRx4-W-JG,FTP-BRx4-M-JG,FTP-BRx4-C-JG,OFF,,,,,,,,,,,,
swivel_brackets,Bracket - Flex,PoolSafe Flex Bracket Black,JG,flat_top,FTP-BRFx1-B-JG,FTP-BRFx1-B-JG,FTP-BRFx1-B-JG,FTP-BRFx1-B-JG,OFF,,,,,,,,,,,,
gate+kit,Kit,SafeTech Hinge & Latch Kit - HD Adjustable Self Closing,JG,flat_top,KIT-HL-MTP-HD-B-JG,KIT-HL-MTP-HD-B-JG,KIT-HL-MTP-HD-B-JG,KIT-HL-MTP-HD-B-JG,OFF,,,,,,,,,,,,
base_plate+dynabolts,Fasteners,Dynabolts M10 x 120mm Stainless Steel x4,JG,flat_top,FFX-DB-M10-120-4PK-SS-JG,FFX-DB-M10-120-4PK-SS-JG,FFX-DB-M10-120-4PK-SS-JG,FFX-DB-M10-120-4PK-SS-JG,OFF,,,,,,,,,,,,
gate+hinges,Hinges,SafeTech Hinges - Adjustable Self Closing,JG,flat_top,HIN-HD-ASC-B-JG,HIN-HD-ASC-B-JG,HIN-HD-ASC-B-JG,HIN-HD-ASC-B-JG,OFF,,,,,,,,,,,,
gate+latch,Latch,SafeTech Latch - Magnetic Top Pull - Keyless,JG,flat_top,LAT-MTP-B-JG,LAT-MTP-B-JG,LAT-MTP-B-JG,LAT-MTP-B-JG,OFF,,,,,,,,,,,,
base_plate+post_cap,Post Cap,PoolSafe Post Cap,JG,flat_top,PO-CAP-B-JG,OFF,OFF,OFF,OFF,,,,,,,,,,,,
panel_options+bracket,Bracket - STD,PoolSafe Bracket Black x4,GO,flat_top,FTP-BRx4-B-GO,FTP-BRx4-W-GO,FTP-BRx4-M-GO,OFF,OFF,,,,,,,,,,,,
gate,Gate,PoolSafe Gate Black 1200H x 970W,GO,flat_top,FTP-G975-B-GO,FTP-G975-W-GO,FTP-G975-M-GO,OFF,OFF,,,,,,,,,,,,
gate+converter,Gate Converter,PoolSafe Gate-Converter Black 1200H,GO,flat_top,FTP-GC1200-B-GO,FTP-GC1200-W-GO,FTP-GC1200-M-GO,OFF,OFF,,,,,,,,,,,,
panel_options+even+2400,Panel - STD,PoolSafe Panel Black 1200H x 2400W,GO,flat_top,FTP-P2450-B-GO,FTP-P2450-W-GO,FTP-P2450-M-GO,OFF,OFF,,,,,,,,,,,,
panel_options+full+2400,Panel - STD,PoolSafe Panel Black 1200H x 2400W,GO,flat_top,FTP-P2450-B-GO,FTP-P2450-W-GO,FTP-P2450-M-GO,OFF,OFF,,,,,,,,,,,,
panel_options+full+3000,Panel - 3m,PoolSafe Panel Black 1200H x 3000W,GO,flat_top,FTP-P3000-B-GO,FTP-P3000-B-GO,FTP-P3000-B-GO,OFF,FTP-P3000-CPC-JG,,,,,,,,,,,,
gate+hinges,Hinges,SafeTech Hinges - Adjustable Self Closing,GO,flat_top,HIN-HD-ASC-B-GO,HIN-HD-ASC-W-GO,HIN-HD-ASC-B-GO,OFF,OFF,,,,,,,,,,,,
gate+kit,Kit,SafeTech Hinge & Latch Kit - HD Adjustable Self Closing,GO,flat_top,KIT-HL-MTP-HD-B-GO,KIT-HL-MTP-HD-W-GO,KIT-HL-MTP-HD-B-GO,OFF,OFF,,,,,,,,,,,,
gate+latch,Latch,SafeTech Latch - Magnetic Top Pull - Keyless,GO,flat_top,LAT-MTP-B-GO,LAT-MTP-W-GO,LAT-MTP-B-GO,OFF,OFF,,,,,,,,,,,,
panel_post+opt-1,Post - 1300,PoolSafe Post Black 1300Lase Plated,GO,flat_top,PO-1300-B-GO,PO-1300-W-GO,PO-1300-M-GO,OFF,OFF,,,,,,,,,,,,
panel_post+opt-2,Post - 1800,PoolSafe Post Black 1800L,GO,flat_top,PO-1800-B-GO,PO-1800-W-GO,PO-1800-M-GO,OFF,OFF,,,,,,,,,,,,
raked_post+opt-2,Post - 2400,PoolSafe Post Black 2400L - Cemented-In,GO,flat_top,PO-2400-B-GO,PO-2400-W-GO,PO-2400-M-GO,OFF,OFF,,,,,,,,,,,,
base_plate+post_cap,Post Cap,PoolSafe Post Cap,GO,flat_top,PO-CAP-B-GO,OFF,OFF,OFF,OFF,,,,,,,,,,,,
base_plate+post_cover,Post Cover,PoolSafe Post Cover - 2pc - 50x50mmlack,GO,flat_top,PO-COV-2P-B-GO,PO-COV-2P-W-GO,PO-COV-2P-M-GO,OFF,OFF,,,,,,,,,,,,
